,label
q_has_quote,0.0594742721662806
q_pct_capitalized,0.059033728930455553
q_has_opinion,0.05580305450028815
q_is_who,0.05189924331156114
q_is_what,0.048028311640868675
q_has_multiple_questions,0.04632507349752095
q_n_capitalized,0.04625384763556972
q_n_sentences,0.04492345721037208
q_n_words,0.0427916859620813
q_n_chars,0.04273829208041654
q_has_year,0.03971999536897062
q_has_comparison,0.03800549325588913
q_n_commas,0.037949527399186694
q_is_when,0.03701859338499999
q_has_approximately,0.03496437690358074
q_has_numbers,0.03268628820987736
q_has_parentheses,0.03141168621753595
q_has_historical,0.027439469500670298
q_n_numbers,0.026605863090767307
q_is_where,0.025930688992284665
q_is_how,0.01874290145039542
q_has_medical,0.018423991008208733
q_has_maybe,0.014586396714155828
q_is_why,0.009331261820382769
q_has_percentage,0.0021817385000306735
q_has_technical,-0.020825431902666915
q_avg_word_length,-0.02229880649035066
