feature,coefficient
q_n_chars,0.5584777750520894
q_n_words,-0.3953652879713989
q_pct_capitalized,0.25156658661884734
q_n_capitalized,-0.13506236660439447
q_is_what,0.08915614190127144
q_has_quote,0.08505524586181597
q_is_who,0.07723987886772403
q_has_numbers,0.05215744358514505
q_has_multiple_questions,0.046347093317267836
q_avg_word_length,-0.04555985799237808
q_has_technical,-0.041873610435173916
q_has_year,0.04095868401059353
q_has_opinion,0.03955996796102009
q_has_comparison,0.03069036901749533
q_is_when,0.029044920582976374
q_n_commas,-0.026969838592663244
q_has_historical,0.024976701661024833
q_n_sentences,-0.024574807961840424
q_is_why,-0.01985443379216981
q_has_parentheses,0.01780728335946227
q_is_where,0.016441978338709917
q_n_numbers,0.009848205956086407
q_has_percentage,-0.007893552139459489
q_has_approximately,-0.004845089115949294
q_has_medical,0.004394334717640569
q_has_maybe,-0.0032594979850827507
q_is_how,-0.0005503755306628834
